turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus
1, 22.32946301413781,21.47063751359405,24.07734716319482,0.06067743,3,99.98941730477122,First,SpeedUp,non,False,None
2, 22.37091220383438,21.5104925036869,24.07734716319482,0.18203229,3,99.98219961401611,First,SpeedUp,non,False,None
3, 22.30024319529717,21.442541533939586,24.07734716319482,0.36406457,3,99.97768855729416,First,SpeedUp,non,False,None
4, 22.31422853505665,21.45598897601601,24.07734716319482,0.60677433,3,99.97526640431553,First,SpeedUp,non,False,None
5, 22.401783892918353,21.5401768201138,24.07734716319482,0.9101615,3,99.97428291266985,First,SpeedUp,non,False,None
6, 22.330107838886576,21.471257537390937,24.07734716319482,1.2742261,3,99.97409596797687,First,SpeedUp,non,False,None
7, 22.365949336448466,21.50572051581583,24.07734716319482,1.6989682,3,99.9740797119166,First,SpeedUp,non,False,None
8, 22.367179282636553,21.5069031563813,24.07734716319482,2.1843877,3,99.9735839020787,First,SpeedUp,non,False,None
9, 22.39210134331082,21.530866676260402,24.07734716319482,2.7304845,3,99.97197455211304,First,SpeedUp,non,False,None
10, 22.284114365642765,21.427033043887274,24.07734716319482,3.3372588,3,99.96862580369962,First,SpeedUp,non,False,None
11, 22.363789371431597,21.503643626376537,24.07734716319482,4.0047107,3,99.96287928639798,First,SpeedUp,non,False,None
12, 22.360339634734668,21.500326571860256,24.07734716319482,4.73284,3,99.95410101385797,First,SpeedUp,non,False,None
13, 22.402434029782984,21.540801951714407,24.07734716319482,5.5216465,3,99.94166512775963,First,SpeedUp,non,False,None
14, 22.408930980029247,21.54704901925889,24.07734716319482,6.3711305,3,99.92491325766247,First,SpeedUp,non,False,None
15, 22.378779882863626,21.51805757967656,24.07734716319482,7.281292,3,99.9032276732766,First,SpeedUp,non,False,None
16, 22.34132533745506,21.482043593706788,24.07734716319482,8.2521305,3,99.87595813219168,First,SpeedUp,non,False,None
17, 22.286150301938754,21.428990674941108,24.07734716319482,9.283647,3,99.8424706480576,First,SpeedUp,non,False,None
18, 22.37952059153132,21.518769799549347,24.07734716319482,10.37584,3,99.80211497846398,First,SpeedUp,non,False,None
19, 22.301049790918796,21.44331710665269,24.07734716319482,11.528711,3,99.75427339312095,First,SpeedUp,non,False,None
20, 22.362120637955858,21.502039074957555,24.07734716319482,12.678582,3,99.70681382519403,First,SpeedUp,non,False,None
21, 22.382801731167,21.52192474150673,24.07734716319482,13.825454,3,99.65973627468321,First,SpeedUp,non,False,None
22, 22.308214111152086,21.450205876107773,24.07734716319482,14.969325,3,99.61304074158846,First,SpeedUp,non,False,None
23, 22.407556285492692,21.545727197589127,24.07734716319482,16.110197,3,99.56672722590983,First,SpeedUp,non,False,None
24, 22.314907019395974,21.456641364803822,24.07734716319482,17.248068,3,99.52079572764727,First,SpeedUp,non,False,None
25, 22.38662921749073,21.52560501681801,24.07734716319482,18.382938,3,99.47523811877068,First,SpeedUp,non,False,None
