주니어_1007,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알-리야흐,318,116,182,125,60,A,,A,,,C,A,C,C,,선입,,,도주,,,,
포츈 투유,364,80,156,120,80,A,,A,A,,,A,,,A,도주,도주,,,,,,
더 라스트 일루전,349,88,110,100,149,,A,A,C,,,A,C,F,F,,,,,도주,,,
박 섬광석화,324,125,186,105,60,,A,A,A,,,A,,,A,,,,,추입,도주,,
마운틴스 섀플리,275,118,205,84,100,A,,,A,B,,B,A,,,,선행,도주,,,,,
유피아 데저트로즈,258,143,193,95,100,A,,,A,A,,,A,A,,,선입,선입,,,,,
치쿠모 코토리,343,92,169,80,115,C,D,,A,A,,A,A,,,,선행,,,,도주,,
블랙 팁 마블,245,124,216,98,105,,A,,A,A,,,,A,A,,,,,,추입,추입,
온 세마치,340,108,228,90,25,,A,,A,A,,,A,A,,,,,,,선행,선행,
굿나잇 스이밍,234,141,183,126,100,,A,,B,A,,,,B,A,,,,,,추입,추입,
이터니티 블랙홀,247,152,181,93,101,A,,,,A,A,,,A,A,,,선입,추입,,,,
페니 레인,298,141,164,86,100,D,D,,,A,A,A,,,A,,,,도주,,,,도주
트윈 페르소나,281,125,178,115,90,,A,,,A,A,,C,C,A,,,,,,,추입,추입
미티어 더스트,239,208,162,90,95,,A,,,A,A,,,A,A,,,,,,,추입,추입
데네브 네오스,260,159,171,100,100,,A,,,A,A,,,A,A,,,,,,,추입,추입
페트리코어 선샤워,270,149,186,105,80,,A,,,A,A,,,A,C,,,,,,,선입,선입
