주니어_1014,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알-리야흐,348,116,192,125,60,A,,A,,,C,A,C,C,,도주,,,,도주,,,
포츈 투유,382,90,162,124,80,A,,A,A,,,A,,,A,도주,도주,,,,,,
더 라스트 일루전,379,88,120,100,149,,A,A,C,E,G,A,C,F,F,,,,,도주,,,
박 섬광석화,354,125,196,105,60,,A,A,A,,,A,,,A,,도주,,,,추입,,
마운틴스 섀플리,305,118,215,84,100,A,,,A,B,,B,A,,,,도주,도주,,,,,
유피아 데저트로즈,288,143,203,95,100,A,,,A,A,,,A,A,,,선행,선입,,,,,
치쿠모 코토리,361,102,175,84,115,C,D,,A,A,,A,A,,,,도주,,,,,도주,
블랙 팁 마블,275,124,226,98,105,,A,,A,A,,,,A,A,,,,,,선입,추입,
온 세마치,358,118,234,94,25,,A,,A,A,,,A,A,,,,,,,도주,추입,
굿나잇 스이밍,264,141,193,126,100,,A,,B,A,,,,B,A,,,,,,선입,추입,
이터니티 블랙홀,277,152,191,93,101,A,,,,A,A,,,A,A,,,추입,추입,,,,
페니 레인,328,141,174,86,100,D,D,,,A,A,A,G,G,A,,,,도주,,,,도주
트윈 페르소나,299,129,194,115,90,,A,,,A,A,,C,C,A,,,,,,,추입,추입
미티어 더스트,269,208,172,90,95,,A,,,A,A,,,A,A,,,,,,,추입,추입
데네브 네오스,290,159,181,100,100,,A,,,A,A,,,A,A,,,,,,,추입,추입
페트리코어 선샤워,300,149,196,105,80,,A,,,A,A,,,A,C,,,,,,,선입,선입
