클래식_1209,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알 리야흐,698,160,332,136,60,A,F,S,F,G,C,A,D,D,G,선행,,,도주,,,,
포츈 투유,764,110,312,132,80,A,F,S,A,G,G,A,G,G,A,도주,도주,,,,,,
더 라스트 일루전,773,95,279,102,149,F,A,S,C,E,G,A,C,F,F,,,,,도주,,,
박 섬광석화,772,125,360,105,60,G,A,A,S,G,G,A,G,G,A,,도주,,,,도주,,
마운틴스 섀플리,635,161,351,96,100,A,F,F,S,B,G,B,A,F,G,,선행,도주,,,,,
유피아 데저트로즈,556,181,380,99,100,S,F,G,A,A,G,G,A,A,G,,선입,선입,,,,,
치쿠모 코토리,693,152,306,104,115,C,D,G,A,S,G,A,A,G,G,,,도주,,,,도주,
블랙 팁 마블,573,162,400,106,105,F,A,G,A,S,G,G,G,A,A,,,,,,추입,추입,
온 세마치,664,175,359,116,25,G,S,G,A,A,G,G,A,A,G,,,,도주,,도주,,
굿나잇 스이밍,560,162,361,126,100,F,S,G,B,A,F,F,G,B,A,,,,,,선입,추입,
이터니티 블랙홀,508,201,361,99,106,S,G,G,G,A,A,G,G,A,A,,,추입,추입,,,,
페니 레인,662,181,310,99,100,D,D,G,G,A,S,A,G,G,A,,,,도주,,,,도주
트윈 페르소나,605,168,349,125,90,F,A,G,G,A,A,G,D,D,S,,,,,,,추입,추입
미티어 더스트,597,231,332,98,95,F,A,G,G,A,S,G,G,A,A,,,,,,,추입,추입
데네브 네오스,544,194,372,100,100,F,S,G,G,A,A,G,G,A,A,,,,,,,추입,추입
페트리코어 선샤워,574,185,376,107,80,F,A,G,G,A,S,G,E,A,C,,,,,,,추입,추입
