클래식_1216,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알 리야흐,738,160,347,136,60,A,F,S,F,G,C,A,D,D,G,선행,,,추입,,,,
포츈 투유,780,125,318,138,80,A,F,S,A,G,G,A,G,G,A,,,,,도주,도주,,
더 라스트 일루전,813,95,294,102,149,F,A,S,C,E,G,A,C,F,F,,,,,도주,,,
박 섬광석화,792,130,370,117,60,G,A,A,S,G,G,A,G,G,A,,,,,,도주,,
마운틴스 섀플리,675,161,366,96,100,A,F,F,S,B,G,B,A,F,G,,선행,도주,,,,,
유피아 데저트로즈,596,181,395,99,100,S,F,G,A,A,G,G,A,A,G,,,,,,,,
치쿠모 코토리,713,157,316,116,115,C,D,G,A,S,G,A,A,G,G,,,,,선행,추입,,
블랙 팁 마블,613,162,415,106,105,F,A,G,A,S,G,G,G,A,A,,,,,,선입,추입,
온 세마치,688,185,368,120,25,G,S,G,A,A,G,G,A,A,G,,,도주,,,,추입,
굿나잇 스이밍,600,162,376,126,100,F,S,G,B,A,F,F,G,B,A,,,,,,선입,선입,
이터니티 블랙홀,548,201,376,99,106,S,G,G,G,A,A,G,G,A,A,,,추입,?,,,,
페니 레인,678,196,316,105,100,D,D,G,G,A,S,A,G,G,A,,,,도주,,,,도주
트윈 페르소나,645,168,364,125,90,F,A,G,G,A,A,G,D,D,S,,,,,,,추입,추입
미티어 더스트,625,231,345,108,95,F,A,G,G,A,S,G,G,A,A,,,,,,,추입,추입
데네브 네오스,584,194,387,100,100,F,S,G,G,A,A,G,G,A,A,,,,,,,선입,선입
페트리코어 선샤워,606,190,388,109,80,F,A,G,G,A,S,G,E,A,C,,,,,,,,추입
