클래식_1111,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알-리야흐,508,121,262,127,60,A,,S,,,C,A,C,C,,도주,,,,도주,,,
포츈 투유,532,110,230,132,80,A,,S,A,,,A,,,A,도주,도주,,,,,,
더 라스트 일루전,557,88,198,100,149,,A,S,C,,,A,C,,,,,,,도주,,,
박 섬광석화,540,125,278,105,60,,A,A,S,,,A,,,A,,,,,도주,도주,,
마운틴스 섀플리,431,135,277,90,100,A,,,S,B,,B,A,,,,도주,선행,,,,,
유피아 데저트로즈,392,161,270,99,100,S,,,A,A,,,A,A,,,,선입,,,,,
치쿠모 코토리,493,132,236,96,115,C,D,,A,S,,A,A,,,,,도주,,,도주,,
블랙 팁 마블,405,144,284,106,105,,A,,A,S,,,,A,A,,,,,,선입,추입,
온 세마치,432,175,277,116,25,,S,,A,A,,,A,A,,,선입,,,,,선입,
굿나잇 스이밍,342,158,271,126,100,,S,,B,A,,,,B,A,,,,,,선입,추입,
이터니티 블랙홀,353,181,251,99,106,S,,,,A,A,,,A,A,,,선입,선입,,,,
페니 레인,452,166,230,96,100,D,D,,,A,S,A,,,A,,,,도주,,,,도주
트윈 페르소나,350,180,297,105,80,,A,,,A,A,,C,C,S,,,,,,,추입,추입
미티어 더스트,413,210,239,90,95,,A,,,A,S,,,A,A,,,도주,,,,,추입
데네브 네오스,356,181,269,100,100,,S,,,A,A,,,A,A,,,,,,,추입,추입
페트리코어 선샤워,397,156,271,121,90,,A,,,A,S,,,A,C,,,,선입,,,,선입
