◎Turn 20
 1 :         미티어 더스트 - targetSpeed(m/s) : 19.71 / defaultTarget(m/s) : 19.71 / spurtTarget(m/s) : 21.93 / currPosition : <12.50, 0.50> / Stamina : 99.61% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 2 :         굿나잇 스이밍 - targetSpeed(m/s) : 20.05 / defaultTarget(m/s) : 19.82 / spurtTarget(m/s) : 22.08 / currPosition : <12.48, 4.05> / Stamina : 99.57% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 3 :         리코리스 블랙 - targetSpeed(m/s) : 21.08 / defaultTarget(m/s) : 20.27 / spurtTarget(m/s) : 21.89 / currPosition : <12.46, 8.00> / Stamina : 99.74% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 21.31 / defaultTarget(m/s) : 19.93 / spurtTarget(m/s) : 21.50 / currPosition : <12.40, 9.05> / Stamina : 99.57% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :         데네브 네오스 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.09 / currPosition : <12.36, 5.95> / Stamina : 99.61% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 6 :           온 세마치 - targetSpeed(m/s) : 19.72 / defaultTarget(m/s) : 19.72 / spurtTarget(m/s) : 22.13 / currPosition : <12.34, 4.00> / Stamina : 99.61% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :          래피드 스텝 - targetSpeed(m/s) : 20.42 / defaultTarget(m/s) : 19.85 / spurtTarget(m/s) : 21.54 / currPosition : <12.27, 8.90> / Stamina : 99.60% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :        홀리데이 미라클 - targetSpeed(m/s) : 19.09 / defaultTarget(m/s) : 19.09 / spurtTarget(m/s) : 20.63 / currPosition : <12.01, 12.00> / Stamina : 99.65% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 19.78 / defaultTarget(m/s) : 19.78 / spurtTarget(m/s) : 22.10 / currPosition : <11.32, 2.00> / Stamina : 99.66% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 21.10 / defaultTarget(m/s) : 19.70 / spurtTarget(m/s) : 21.98 / currPosition : <10.26, 2.70> / Stamina : 99.71% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
11 :          시나몬 룰렛 - targetSpeed(m/s) : 21.11 / defaultTarget(m/s) : 20.30 / spurtTarget(m/s) : 21.90 / currPosition : <10.24, 7.00> / Stamina : 99.82% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 19.05 / defaultTarget(m/s) : 19.05 / spurtTarget(m/s) : 20.68 / currPosition : <10.11, 10.95> / Stamina : 99.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False

◎Turn 40
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.15 / defaultTarget(m/s) : 20.34 / spurtTarget(m/s) : 21.89 / currPosition : <33.65, 8.00> / Stamina : 99.05% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         굿나잇 스이밍 - targetSpeed(m/s) : 19.82 / defaultTarget(m/s) : 19.82 / spurtTarget(m/s) : 22.08 / currPosition : <33.64, 3.55> / Stamina : 98.44% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 3 :         미티어 더스트 - targetSpeed(m/s) : 19.67 / defaultTarget(m/s) : 19.67 / spurtTarget(m/s) : 21.93 / currPosition : <33.54, 0.50> / Stamina : 98.53% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
