◎Turn 20
 1 :         데네브 네오스 - targetSpeed(m/s) : 18.25 / defaultTarget(m/s) : 18.25 / spurtTarget(m/s) : 20.06 / currPosition : <12.29, 1.80> / Stamina : 99.70% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 2 :           페니 레인 - targetSpeed(m/s) : 20.31 / defaultTarget(m/s) : 19.53 / spurtTarget(m/s) : 21.62 / currPosition : <12.29, 1.00> / Stamina : 99.82% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.76 / defaultTarget(m/s) : 19.00 / spurtTarget(m/s) : 20.50 / currPosition : <12.28, 6.00> / Stamina : 99.82% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :         리코리스 블랙 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 18.99 / spurtTarget(m/s) : 20.43 / currPosition : <12.28, 7.00> / Stamina : 99.82% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 5 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.40 / defaultTarget(m/s) : 18.40 / spurtTarget(m/s) : 20.32 / currPosition : <12.06, 3.00> / Stamina : 99.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 6 :         트윈 페르소나 - targetSpeed(m/s) : 18.26 / defaultTarget(m/s) : 18.26 / spurtTarget(m/s) : 20.13 / currPosition : <12.06, 5.00> / Stamina : 99.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :          래피드 스텝 - targetSpeed(m/s) : 18.96 / defaultTarget(m/s) : 18.68 / spurtTarget(m/s) : 20.05 / currPosition : <12.04, 7.85> / Stamina : 99.72% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :         미티어 더스트 - targetSpeed(m/s) : 18.13 / defaultTarget(m/s) : 18.13 / spurtTarget(m/s) : 19.97 / currPosition : <12.01, 3.45> / Stamina : 99.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.87 / defaultTarget(m/s) : 18.57 / spurtTarget(m/s) : 20.05 / currPosition : <11.98, 8.05> / Stamina : 99.73% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 17.87 / defaultTarget(m/s) : 17.87 / spurtTarget(m/s) : 19.29 / currPosition : <11.71, 9.95> / Stamina : 99.76% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False

◎Turn 40
 1 :           페니 레인 - targetSpeed(m/s) : 20.41 / defaultTarget(m/s) : 19.63 / spurtTarget(m/s) : 21.62 / currPosition : <32.58, 1.00> / Stamina : 99.36% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.82 / defaultTarget(m/s) : 19.06 / spurtTarget(m/s) : 20.43 / currPosition : <32.14, 7.00> / Stamina : 99.39% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.74 / defaultTarget(m/s) : 18.98 / spurtTarget(m/s) : 20.50 / currPosition : <32.14, 6.00> / Stamina : 99.39% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :         데네브 네오스 - targetSpeed(m/s) : 18.23 / defaultTarget(m/s) : 18.23 / spurtTarget(m/s) : 20.06 / currPosition : <32.03, 1.80> / Stamina : 99.00% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 20.33 / defaultTarget(m/s) : 18.63 / spurtTarget(m/s) : 20.05 / currPosition : <31.01, 7.30> / Stamina : 99.09% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :          래피드 스텝 - targetSpeed(m/s) : 20.62 / defaultTarget(m/s) : 18.65 / spurtTarget(m/s) : 20.05 / currPosition : <30.94, 7.15> / Stamina : 99.10% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 7 :         미티어 더스트 - targetSpeed(m/s) : 18.21 / defaultTarget(m/s) : 18.21 / spurtTarget(m/s) : 19.97 / currPosition : <30.67, 3.15> / Stamina : 99.15% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :       페트리코어 선샤워 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 18.40 / spurtTarget(m/s) : 20.32 / currPosition : <30.65, 2.60> / Stamina : 99.14% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 9 :         트윈 페르소나 - targetSpeed(m/s) : 18.22 / defaultTarget(m/s) : 18.22 / spurtTarget(m/s) : 20.13 / currPosition : <30.56, 5.00> / Stamina : 99.15% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 18.43 / defaultTarget(m/s) : 17.84 / spurtTarget(m/s) : 19.29 / currPosition : <29.54, 9.15> / Stamina : 99.24% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 60
 1 :           페니 레인 - targetSpeed(m/s) : 20.42 / defaultTarget(m/s) : 19.63 / spurtTarget(m/s) : 21.62 / currPosition : <52.88, 1.00> / Stamina : 98.90% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 19.78 / defaultTarget(m/s) : 19.02 / spurtTarget(m/s) : 20.50 / currPosition : <51.89, 6.00> / Stamina : 98.96% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :         리코리스 블랙 - targetSpeed(m/s) : 19.81 / defaultTarget(m/s) : 19.05 / spurtTarget(m/s) : 20.43 / currPosition : <51.88, 7.00> / Stamina : 98.96% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :         데네브 네오스 - targetSpeed(m/s) : 18.21 / defaultTarget(m/s) : 18.21 / spurtTarget(m/s) : 20.06 / currPosition : <50.59, 1.80> / Stamina : 98.42% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 18.84 / defaultTarget(m/s) : 18.58 / spurtTarget(m/s) : 20.05 / currPosition : <49.84, 6.30> / Stamina : 98.48% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :          래피드 스텝 - targetSpeed(m/s) : 20.20 / defaultTarget(m/s) : 18.66 / spurtTarget(m/s) : 20.05 / currPosition : <49.77, 6.15> / Stamina : 98.49% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 7 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.39 / defaultTarget(m/s) : 18.39 / spurtTarget(m/s) : 20.32 / currPosition : <49.01, 2.50> / Stamina : 98.58% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 18.27 / defaultTarget(m/s) : 18.27 / spurtTarget(m/s) : 20.13 / currPosition : <48.81, 4.15> / Stamina : 98.60% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 18.82 / defaultTarget(m/s) : 18.23 / spurtTarget(m/s) : 19.97 / currPosition : <48.79, 3.10> / Stamina : 98.62% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 19.55 / defaultTarget(m/s) : 17.87 / spurtTarget(m/s) : 19.29 / currPosition : <47.47, 8.15> / Stamina : 98.72% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 80
